Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-08,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.0,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.0,0.0,0.6740633889210942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1,0.0,0.10771648590045058,0.0,0.0,1.0981890861968613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.8210315440319217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,2,0.0,0.21543297180090115,0.0,0.9745068995088485,0.0,0.8210315440319217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,2,0.0,0.21543297180090115,0.0,0.0,2.1963781723937226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.8210315440319217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,2,0.0,0.21543297180090115,0.0,1.949013799017697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,2,0.0,0.21543297180090115,0.0,0.0,0.0,1.6420630880638434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.0,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,1,0.0,0.10771648590045058,0.0,0.9745068995088485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,1,0.0,0.10771648590045058,0.0,0.0,1.0981890861968613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,5,0.0,0.5385824295022529,0.0,1.949013799017697,1.0981890861968613,1.6420630880638434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,2,0.0,0.21543297180090115,0.0,0.0,0.0,0.8210315440319217,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,2,0.0,0.21543297180090115,0.0,0.0,1.0981890861968613,0.0,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,2,1.0,0.21543297180090115,0.10771648590045058,0.0,0.0,0.8210315440319217,0.6993789514910759,0.0,0.0,0.0,0.9745068995088485,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,1,0.0,0.10771648590045058,0.0,0.0,0.0,0.0,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,4,0.0,0.4308659436018023,0.0,0.9745068995088485,1.0981890861968613,1.6420630880638434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,3,0.0,0.32314945770135173,0.0,0.0,0.0,0.8210315440319217,0.6993789514910759,0.0,0.6397625201525193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,4,1.0,0.4308659436018023,0.10771648590045058,0.9745068995088485,2.1963781723937226,0.0,0.6993789514910759,0.0,0.0,0.0,0.0,1.0981890861968613,0.0,0.0,0.0,0.0,0.0
2020-04-11,6,0.0,0.6462989154027035,0.0,0.9745068995088485,0.0,3.2841261761276868,0.6993789514910759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,2,0.0,0.21543297180090115,0.0,1.949013799017697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,5,0.0,0.5385824295022529,0.0,0.9745068995088485,2.1963781723937226,0.0,1.3987579029821517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
