Fechas,Casos,Defunciones,Casospor100k,Defuncionespor100k,G60,G50,G40,G30,G20,G10,G00,D60,D50,D40,D30,D20,D10,D00
2020-03-12,1.0,0.0,0.136725773218429,0.0,0.0,0.0,0.0,0.8928411992642988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,1.0,0.0,0.136725773218429,0.0,0.0,0.0,1.0171698266742615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,1.0,0.0,0.136725773218429,0.0,0.0,1.3095861707700367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,1.0,0.0,0.136725773218429,0.0,1.092215778149131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,2.0,0.0,0.273451546436858,0.0,0.0,0.0,1.0171698266742615,0.8928411992642988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,1.0,0.0,0.136725773218429,0.0,0.0,1.3095861707700367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,1.0,0.0,0.136725773218429,0.0,1.092215778149131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,1.0,0.0,0.136725773218429,0.0,0.0,0.0,1.0171698266742615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,3.0,0.0,0.410177319655287,0.0,1.092215778149131,1.3095861707700367,0.0,0.8928411992642988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,3.0,0.0,0.410177319655287,0.0,1.092215778149131,0.0,1.0171698266742615,0.0,0.8519484060045324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,0.0,1.0,0.0,0.136725773218429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092215778149131,0.0,0.0,0.0,0.0,0.0,0.0
