,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-02-19,2.0,0.0,0.009162147284815977,0.0,2020-02-19
2020-02-20,1.0,0.0,0.0045810736424079885,0.0,2020-02-20
2020-02-22,1.0,0.0,0.0045810736424079885,0.0,2020-02-22
2020-02-23,2.0,0.0,0.009162147284815977,0.0,2020-02-23
2020-02-25,2.0,0.0,0.009162147284815977,0.0,2020-02-25
2020-02-26,1.0,0.0,0.0045810736424079885,0.0,2020-02-26
2020-02-27,2.0,0.0,0.009162147284815977,0.0,2020-02-27
2020-02-28,3.0,0.0,0.013743220927223965,0.0,2020-02-28
2020-02-29,3.0,0.0,0.013743220927223965,0.0,2020-02-29
2020-03-01,4.0,0.0,0.018324294569631954,0.0,2020-03-01
2020-03-02,10.0,0.0,0.04581073642407988,0.0,2020-03-02
2020-03-03,9.0,0.0,0.041229662781671894,0.0,2020-03-03
2020-03-04,8.0,0.0,0.03664858913926391,0.0,2020-03-04
2020-03-05,5.0,0.0,0.02290536821203994,0.0,2020-03-05
2020-03-06,8.0,0.0,0.03664858913926391,0.0,2020-03-06
2020-03-07,13.0,0.0,0.059553957351303845,0.0,2020-03-07
2020-03-08,11.0,0.0,0.05039181006648787,0.0,2020-03-08
2020-03-09,33.0,0.0,0.1511754301994636,0.0,2020-03-09
2020-03-10,28.0,0.0,0.12827006198742366,0.0,2020-03-10
2020-03-11,27.0,0.0,0.12368898834501568,0.0,2020-03-11
2020-03-12,52.0,0.0,0.23821582940521538,0.0,2020-03-12
2020-03-13,55.0,0.0,0.25195905033243937,0.0,2020-03-13
2020-03-14,52.0,0.0,0.23821582940521538,0.0,2020-03-14
2020-03-15,54.0,0.0,0.24737797669003136,0.0,2020-03-15
2020-03-16,67.0,0.0,0.30693193404133523,0.0,2020-03-16
2020-03-17,68.0,0.0,0.3115130076837432,0.0,2020-03-17
2020-03-18,57.0,1.0,0.26112119761725533,0.0045810736424079885,2020-03-18
2020-03-19,63.0,0.0,0.28860763947170326,0.0,2020-03-19
2020-03-20,104.0,0.0,0.47643165881043076,0.0,2020-03-20
2020-03-21,63.0,0.0,0.28860763947170326,0.0,2020-03-21
2020-03-22,76.0,1.0,0.3481615968230071,0.0045810736424079885,2020-03-22
2020-03-23,104.0,1.0,0.47643165881043076,0.0045810736424079885,2020-03-23
2020-03-24,86.0,0.0,0.39397233324708697,0.0,2020-03-24
2020-03-25,106.0,1.0,0.48559380609524677,0.0045810736424079885,2020-03-25
2020-03-26,158.0,3.0,0.7238096355004622,0.013743220927223965,2020-03-26
2020-03-27,122.0,4.0,0.5588909843737746,0.018324294569631954,2020-03-27
2020-03-28,114.0,6.0,0.5222423952345107,0.02748644185444793,2020-03-28
2020-03-29,105.0,4.0,0.48101273245283876,0.018324294569631954,2020-03-29
2020-03-30,177.0,7.0,0.8108500347062139,0.032067515496855915,2020-03-30
2020-03-31,136.0,9.0,0.6230260153674864,0.041229662781671894,2020-03-31
2020-04-01,249.0,7.0,1.1406873369595891,0.032067515496855915,2020-04-01
2020-04-02,187.0,11.0,0.8566607711302938,0.05039181006648787,2020-04-02
2020-04-03,195.0,10.0,0.8933093602695577,0.04581073642407988,2020-04-03
2020-04-04,210.0,12.0,0.9620254649056775,0.05497288370889586,2020-04-04
2020-04-05,216.0,12.0,0.9895119067601255,0.05497288370889586,2020-04-05
2020-04-06,292.0,21.0,1.3376735035831326,0.09620254649056775,2020-04-06
2020-04-07,251.0,20.0,1.1498494842444051,0.09162147284815976,2020-04-07
2020-04-08,306.0,15.0,1.4018085345768443,0.06871610463611982,2020-04-08
2020-04-09,316.0,23.0,1.4476192710009244,0.10536469377538372,2020-04-09
2020-04-10,509.0,35.0,2.331766483985666,0.1603375774842796,2020-04-10
2020-04-11,355.0,39.0,1.6262811430548358,0.17866187205391154,2020-04-11
2020-04-12,395.0,30.0,1.8095240887511554,0.13743220927223965,2020-04-12
2020-04-13,516.0,37.0,2.3638339994825217,0.16949972476909556,2020-04-13
2020-04-14,469.0,45.0,2.1485235382893464,0.20614831390835947,2020-04-14
2020-04-15,629.0,46.0,2.881495321074625,0.21072938755076745,2020-04-15
2020-04-16,584.0,50.0,2.6753470071662653,0.22905368212039942,2020-04-16
2020-04-17,681.0,52.0,3.11971115047984,0.23821582940521538,2020-04-17
2020-04-18,691.0,56.0,3.1655218869039197,0.2565401239748473,2020-04-18
2020-04-19,637.0,70.0,2.9181439102138884,0.3206751549685592,2020-04-19
2020-04-20,1044.0,81.0,4.78264088267394,0.37106696503504705,2020-04-20
2020-04-21,689.0,98.0,3.156359739619104,0.44894521695598283,2020-04-21
2020-04-22,699.0,89.0,3.2021704760431837,0.40771555417431093,2020-04-22
2020-04-23,728.0,102.0,3.3350216116730156,0.4672695115256148,2020-04-23
2020-04-24,831.0,132.0,3.8068721968410384,0.6047017207978544,2020-04-24
2020-04-25,857.0,141.0,3.925980111543646,0.6459313835795263,2020-04-25
2020-04-26,786.0,162.0,3.600723882932679,0.7421339300700941,2020-04-26
2020-04-27,965.0,132.0,4.420736064923709,0.6047017207978544,2020-04-27
2020-04-28,878.0,163.0,4.022182658034214,0.7467150037125021,2020-04-28
2020-04-29,718.0,201.0,3.2892108752489357,0.9207958021240056,2020-04-29
2020-04-30,1009.0,196.0,4.62230330518966,0.8978904339119657,2020-04-30
2020-05-01,1526.0,213.0,6.99071837831459,0.9757686858329014,2020-05-01
2020-05-02,902.0,164.0,4.132128425452005,0.7512960773549101,2020-05-02
2020-05-03,939.0,196.0,4.301628150221101,0.8978904339119657,2020-05-03
2020-05-04,1188.0,231.0,5.44231548718069,1.0582280113962452,2020-05-04
2020-05-05,1193.0,229.0,5.4652208553927295,1.0490658641114292,2020-05-05
2020-05-06,1080.0,212.0,4.947559533800627,0.9711876121904935,2020-05-06
2020-05-07,1145.0,202.0,5.245329320557146,0.9253768757664136,2020-05-07
2020-05-08,1327.0,221.0,6.0790847234754,1.0124172749721654,2020-05-08
2020-05-09,1142.0,199.0,5.231586099629922,0.9116336548391897,2020-05-09
2020-05-10,1628.0,228.0,7.457987889840205,1.0444847904690213,2020-05-10
2020-05-11,1410.0,222.0,6.459313835795263,1.0169983486145733,2020-05-11
2020-05-12,1251.0,247.0,5.730923126652393,1.1315251896747731,2020-05-12
2020-05-13,1180.0,253.0,5.405666898041426,1.159011631529221,2020-05-13
2020-05-14,1134.0,262.0,5.194937510490659,1.2002412943108929,2020-05-14
2020-05-15,1782.0,275.0,8.163473230771036,1.2597952516621969,2020-05-15
2020-05-16,1220.0,271.0,5.588909843737746,1.2414709570925648,2020-05-16
2020-05-17,1232.0,296.0,5.643882727446641,1.3559977981527644,2020-05-17
2020-05-18,1804.0,291.0,8.26425685090401,1.3330924299407245,2020-05-18
2020-05-19,1275.0,261.0,5.840868894070185,1.195660220668485,2020-05-19
2020-05-20,1976.0,231.0,9.052201517398185,1.0582280113962452,2020-05-20
2020-05-21,1149.0,288.0,5.2636536151267785,1.3193492090135006,2020-05-21
2020-05-22,1440.0,253.0,6.596746045067503,1.159011631529221,2020-05-22
2020-05-23,1205.0,234.0,5.520193739101626,1.0719712323234691,2020-05-23
2020-05-24,1181.0,279.0,5.410247971683834,1.2781195462318287,2020-05-24
2020-05-25,1846.0,269.0,8.456661943885146,1.2323088098077488,2020-05-25
2020-05-26,1375.0,273.0,6.298976258310984,1.2506331043773808,2020-05-26
2020-05-27,1294.0,251.0,5.9279092932759365,1.1498494842444051,2020-05-27
2020-05-28,1431.0,267.0,6.555516382285831,1.2231466625229328,2020-05-28
2020-05-29,1366.0,244.0,6.257746595529312,1.1177819687475492,2020-05-29
2020-05-30,1300.0,246.0,5.955395735130384,1.126944116032365,2020-05-30
2020-05-31,1207.0,268.0,5.529355886386441,1.227727736165341,2020-05-31
2020-06-01,2317.0,261.0,10.614347629459308,1.195660220668485,2020-06-01
2020-06-02,1382.0,241.0,6.331043773807839,1.104038747820325,2020-06-02
